energy,max,risetime,MED,RMS-DS,kurtosis
2776816053,8106.557918,5.37E-10,1.28E-08,6.95E-16,54.30709213
2418827618,7113.215495,3.31E-10,1.35E-08,7.50E-16,49.70733396
1491294788,5997.412548,3.31E-10,1.42E-08,8.20E-16,67.03616401
926274813.5,5307.635259,4.91E-10,1.50E-08,8.66E-16,62.76741382
629617483.3,3593.46788,3.31E-10,1.64E-08,9.76E-16,42.75721074
734582890.2,4271.667355,3.31E-10,1.64E-08,9.34E-16,48.50691617
449320673.5,2743.503607,3.31E-10,1.90E-08,9.80E-16,35.20709526
1781725754,6482.796097,3.31E-10,1.35E-08,7.49E-16,57.1954784
2101008988,6099.113252,3.31E-10,1.45E-08,7.61E-16,44.08086344
958922372.5,5128.997565,3.31E-10,1.68E-08,8.37E-16,50.06676171
772195879.1,4609.990564,4.55E-10,1.60E-08,9.03E-16,57.69658036
650452987.3,3933.315203,4.55E-10,1.73E-08,9.02E-16,42.33200963
665969658.5,4197.8049,4.13E-10,1.67E-08,8.98E-16,46.74805857
407428430.9,3018.001201,7.80E-10,1.72E-08,9.70E-16,41.94191118
116782775.1,1238.466805,1.24E-10,3.40E-08,1.82E-15,27.23302613
252512087,2924.842151,2.48E-10,2.14E-08,1.38E-15,66.79611955
197652548.1,2424.685301,2.48E-10,2.29E-08,1.52E-15,72.90841345
464928756.7,4001.819993,4.55E-10,1.73E-08,1.07E-15,72.73150828
471375309.4,4036.036225,3.31E-10,1.66E-08,1.07E-15,84.0210261
236849229.1,1978.620088,2.07E-10,2.12E-08,1.22E-15,32.04007258
309808991.3,3254.42249,3.31E-10,2.00E-08,1.19E-15,68.52724237
311540410.9,3339.466543,3.31E-10,2.18E-08,1.34E-15,73.50799949
406415687,3342.404005,5.37E-10,1.89E-08,1.12E-15,50.78455262
644467612.2,4943.400623,3.72E-10,1.85E-08,1.24E-15,82.96077953
740984177.9,4620.730922,3.72E-10,1.66E-08,9.11E-16,72.91639026
225864923.1,1990.176057,2.48E-10,2.26E-08,1.29E-15,39.58710595
160015795.7,2160.627119,3.31E-10,2.54E-08,1.58E-15,57.25976645
617378048.4,4254.668522,3.67E-10,1.61E-08,1.04E-15,83.63760247
507874676.6,4867.967426,3.31E-10,1.60E-08,1.07E-15,113.9388682
530375470.4,4526.544857,3.31E-10,1.58E-08,9.88E-16,70.26902843
112124960.7,1550.607879,1.11E-09,2.86E-08,1.73E-15,31.91234752
113892508.6,1609.867565,2.07E-10,2.55E-08,1.57E-15,43.12225307
765612260.8,5154.511199,4.55E-10,1.34E-08,9.19E-16,77.04996228
197085680.7,2679.034126,3.31E-10,2.53E-08,1.40E-15,64.7240816
449359188.7,3849.269401,4.55E-10,1.64E-08,1.04E-15,75.26203555
229089537.3,2578.591372,3.72E-10,2.12E-08,1.47E-15,61.93667522
237702328.6,2704.681465,3.31E-10,1.76E-08,1.21E-15,88.00743377
113932709.2,1204.947391,2.48E-10,2.48E-08,1.71E-15,27.31947827
575994180.4,5613.553927,4.13E-10,1.86E-08,1.22E-15,126.3349904
440333352.8,4301.382444,3.72E-10,1.54E-08,1.06E-15,103.7797085
504473733.6,4837.661133,4.55E-10,1.42E-08,1.03E-15,129.8333985
295592152.5,3954.159861,4.13E-10,1.77E-08,1.19E-15,111.1899034
469858884.5,3742.588059,4.55E-10,1.32E-08,9.13E-16,81.82354135
88038525.88,1088.693927,2.07E-10,3.54E-08,1.99E-15,20.41499744
1395655233,6509.976665,3.31E-10,1.33E-08,8.36E-16,82.39389762
670209161.3,5182.104513,3.31E-10,1.40E-08,9.38E-16,109.4370498
724790374,4974.085926,4.55E-10,1.40E-08,9.87E-16,101.1388473
293079960.9,3893.469181,3.31E-10,2.05E-08,1.39E-15,121.2689945
410217144.9,4051.615708,4.55E-10,1.49E-08,1.14E-15,109.7741849
375060000.7,3940.984398,4.55E-10,1.51E-08,1.21E-15,111.8958999
907629362.3,5828.442779,3.31E-10,1.46E-08,9.09E-16,91.18995616
858428037,6046.097871,4.13E-10,1.71E-08,1.01E-15,99.08875881
347369165.9,3441.671466,3.31E-10,2.33E-08,1.36E-15,64.98923967
452044676.4,4771.573155,3.31E-10,1.73E-08,1.14E-15,127.9420619
408510167.9,4514.353314,3.31E-10,1.73E-08,1.13E-15,109.6143027
318979246.8,3278.125577,3.31E-10,2.30E-08,1.35E-15,72.69300483
290752004.5,3227.979253,1.23E-09,1.51E-08,1.18E-15,78.54689927
451958283.5,3630.624303,3.31E-10,2.11E-08,1.16E-15,60.1056556
457584308.9,4978.642828,4.55E-10,1.90E-08,1.17E-15,126.7912272
501811965.4,4272.118588,2.48E-10,1.72E-08,1.11E-15,71.2372249
491717335,4987.505137,3.31E-10,1.62E-08,1.11E-15,140.5990495
507654326.7,5000.999583,4.55E-10,1.44E-08,1.04E-15,137.3913949
465056397.3,4778.988672,4.13E-10,1.72E-08,1.11E-15,112.4922731
447969261.9,4207.771749,4.55E-10,1.49E-08,1.02E-15,98.84545388
342409037.4,3151.467864,3.31E-10,2.27E-08,1.35E-15,54.87542393
406878872.4,4174.685831,3.31E-10,2.11E-08,1.26E-15,97.19437855
336073392.5,3928.432583,4.55E-10,2.14E-08,1.41E-15,98.78901042
340685591.8,3433.770863,4.13E-10,1.92E-08,1.25E-15,76.17292054
306412811.1,3713.72207,4.55E-10,2.12E-08,1.24E-15,83.03392769
261308461.1,3031.483675,3.31E-10,2.55E-08,1.50E-15,70.81820443
154516732.1,2577.748081,3.31E-10,2.29E-08,1.63E-15,93.38243134
424294539.6,3253.254351,2.48E-10,1.96E-08,1.08E-15,51.43585909
580286475.9,4347.234589,2.48E-10,1.95E-08,1.05E-15,82.29530614
399133616.9,4131.051141,2.48E-10,2.05E-08,1.27E-15,84.71429585
423279429.8,4191.069358,3.31E-10,1.89E-08,1.18E-15,110.9360283
365779927,3857.407754,2.89E-10,1.77E-08,1.23E-15,117.7487061
359699927.3,3958.34932,3.72E-10,2.03E-08,1.32E-15,109.5660022
346069663.5,2980.00745,3.31E-10,2.12E-08,1.24E-15,51.65574295
380332332.7,3140.127972,3.31E-10,2.11E-08,1.22E-15,50.13051114
321999426.5,3072.477562,3.31E-10,2.11E-08,1.26E-15,62.1841731
304809970.7,4006.919183,3.31E-10,2.06E-08,1.27E-15,118.0872752
247708326.2,2637.311692,3.31E-10,2.39E-08,1.33E-15,57.8806835
322808575.7,4106.123902,3.72E-10,2.14E-08,1.33E-15,108.8263009
403699290.7,3036.157313,4.13E-10,1.64E-08,9.46E-16,48.73749078
310407173.2,2366.872877,3.72E-10,2.39E-08,1.26E-15,43.47675338
264584849.6,2898.30445,3.72E-10,2.29E-08,1.37E-15,70.87020801
263517161.4,2649.854385,3.31E-10,2.40E-08,1.41E-15,54.34744308
189340276,2922.394933,3.31E-10,2.38E-08,1.61E-15,110.7200097
175295193.8,2921.618868,4.13E-10,2.29E-08,1.63E-15,115.6897471
240124537.8,3265.235541,3.72E-10,2.06E-08,1.42E-15,95.03481391
176238378.8,1869.422135,3.31E-10,3.05E-08,1.59E-15,36.0940304
228442525.3,2679.130746,3.31E-10,2.46E-08,1.37E-15,59.85219321
211163558.9,2530.352273,3.31E-10,2.94E-08,1.49E-15,44.22779965
214226151.6,2798.124374,3.31E-10,2.52E-08,1.43E-15,78.73416
246412187.4,2922.562819,3.31E-10,2.19E-08,1.35E-15,84.92866518
331575204.9,3549.353339,2.89E-10,1.99E-08,1.30E-15,108.1519335
298157530.1,3053.501731,3.31E-10,2.02E-08,1.23E-15,66.07358072
433039476,4224.063646,3.31E-10,1.80E-08,1.14E-15,102.9673714
436509710.7,4396.600457,3.31E-10,1.68E-08,1.14E-15,95.54156308
250878992.5,3161.770392,3.31E-10,2.37E-08,1.29E-15,75.29219904
258418612.1,3016.243604,3.31E-10,2.14E-08,1.35E-15,77.0154974
268887205.9,3721.993049,3.31E-10,2.15E-08,1.42E-15,112.1673506
152811055.8,3152.814695,3.67E-10,1.73E-08,1.57E-15,192.1568987
209982881.3,2810.753729,3.67E-10,1.31E-08,1.22E-15,113.2554283
137277898.2,2812.824937,2.48E-10,1.91E-08,1.60E-15,149.9138178
119676838.3,2013.554105,2.07E-10,2.55E-08,1.69E-15,58.64509652
320191065,4192.345893,3.31E-10,1.56E-08,1.23E-15,156.0994163
173719101.8,3185.943205,3.31E-10,1.55E-08,1.34E-15,148.8409893
132686772.4,2953.552434,1.07E-09,1.62E-08,1.52E-15,181.2055545
102480560.9,2064.598958,2.48E-10,2.05E-08,1.84E-15,117.0570616
78676969.13,1558.209216,2.07E-10,2.94E-08,2.10E-15,63.41493958
187957117.9,3158.199623,3.31E-10,2.01E-08,1.63E-15,123.639749
124604928.2,2944.428019,3.31E-10,1.68E-08,1.62E-15,213.1828762
155728332.5,2548.487032,3.31E-10,1.73E-08,1.36E-15,96.09208181
140138034.2,2363.07051,2.48E-10,1.69E-08,1.54E-15,115.9805254
143880554.7,2450.496738,2.89E-10,1.86E-08,1.51E-15,115.782824
393642626.1,4607.120074,4.55E-10,1.24E-08,1.06E-15,141.9056169
239035138.3,2617.578675,2.07E-10,1.55E-08,1.35E-15,69.86024614
77911627.33,1709.089486,3.31E-10,2.34E-08,2.11E-15,107.7985535
109863363.5,2138.24836,2.48E-10,1.95E-08,1.75E-15,150.992776
65840717.34,1692.212635,1.65E-10,2.69E-08,2.43E-15,141.9791928
127910661.3,2680.791782,3.31E-10,1.64E-08,1.54E-15,159.8174032
181548796.5,3348.20771,3.31E-10,1.58E-08,1.36E-15,180.6586669
85934027.44,2128.302039,3.31E-10,2.45E-08,2.07E-15,144.5285515
59255324.32,1534.495002,2.43E-10,2.48E-08,2.42E-15,118.4305968
131192457.5,2850.247882,3.31E-10,1.82E-08,1.60E-15,167.5763536
35463257.16,914.4842308,1.24E-10,3.81E-08,3.11E-15,50.33253387
43543414.14,988.8205538,2.48E-10,3.35E-08,2.78E-15,61.01563056
299110356.7,4562.771955,4.13E-10,1.37E-08,1.20E-15,200.8778555
147988485.1,2624.525562,4.96E-10,1.47E-08,1.41E-15,130.8558323
48000050.84,1247.867041,3.31E-10,3.01E-08,2.58E-15,76.48491156
51655661.91,1603.92832,2.07E-10,2.74E-08,2.51E-15,138.8891169
67524511.18,1484.451574,2.07E-10,2.45E-08,2.19E-15,79.2099473
